row_id,subj_code,batch_num,bin,trial_number,word,key,rt
1,7000,1,1,1,freakish,6,6422
2,7000,1,1,2,peace,4,12874
3,7000,1,1,3,stalked,6,7535
4,7000,1,1,4,lactose,1,9145
5,7000,1,1,5,lowly,5,10774
6,7000,1,1,6,sulphur,1,7791
7,7000,1,1,7,invariant,3,11122
8,7000,1,1,8,responsible,3,7010
9,7000,1,1,9,reform,3,8231
10,7000,1,1,10,valley,5,4561
11,7000,1,1,11,whirr,7,3217
12,7000,1,1,12,empress,4,24299
13,7000,1,1,13,pant,5,6604
14,7000,1,1,14,excise,6,2881
15,7000,1,1,15,competence,3,4256
16,7000,1,1,16,grump,6,3948
17,7000,1,1,17,sympathetic,3,5406
18,7000,1,1,18,prune,5,2350
19,7000,1,1,19,theorize,2,7642
20,7000,1,1,20,colossal,5,8130
21,7000,1,1,21,qualified,2,6130
22,7000,1,1,22,phenomenal,5,8393
23,7000,1,1,23,adulterer,2,8162
24,7000,1,1,25,faulty,5,13813
25,7000,1,1,26,coverage,3,3291
26,7000,1,1,27,fixation,4,6738
27,7000,1,1,28,sight,3,9468
28,7000,1,1,29,allegiance,2,9604
29,7000,1,1,30,breakage,5,9978
30,7000,1,1,31,distrustful,3,3767
31,7000,1,1,32,yank,7,6145
32,7000,1,1,33,library,2,5750
33,7000,1,1,34,circumspect,4,8310
34,7000,1,1,35,aunt,1,8138
35,7000,1,1,36,observer,3,3733
36,7000,1,1,37,trade,3,4172
37,7000,1,1,38,measurement,4,12542
38,7000,1,1,39,constitute,3,2648
39,7000,1,1,40,drill,6,2242
40,7000,1,1,41,porch,5,2153
41,7000,1,1,42,jealous,3,3163
42,7000,1,1,43,solitaire,4,3975
43,7000,1,1,44,ruffle,7,3488
44,7000,1,1,45,here,3,7185
45,7000,1,1,46,tireless,2,5434
46,7000,1,1,47,nirvana,6,12508
47,7000,1,1,48,delightful,3,6723
48,7000,1,1,49,butler,2,4274
49,7000,1,1,50,uneventful,1,4001
50,7000,1,1,51,hydroplane,5,4971
51,7000,1,1,52,articulate,5,4309
52,7000,1,1,53,change,3,5133
53,7000,1,1,54,cubicle,5,7666
54,7000,1,1,55,bass,6,2668
55,7000,1,1,57,instruct,4,4986
56,7000,1,1,59,dialysis,4,16374
57,7000,1,1,60,stinky,6,3400
58,7000,1,1,61,gamble,5,1910
59,7000,1,1,62,handshake,4,6428
60,7000,1,1,63,goo-goo,7,5852
61,7000,1,1,64,honeycomb,3,6523
62,7000,1,1,65,deserving,3,3495
63,7000,1,1,66,smash,7,2295
64,7000,1,1,67,mammal,2,2530
65,7000,1,1,68,bloodbath,4,4365
66,7000,1,1,69,twister,7,4541
67,7000,1,1,70,earnest,5,2820
68,7000,1,1,71,misread,3,6856
69,7000,1,1,73,murky,6,3567
70,7000,1,1,74,momma,6,4856
71,7000,1,1,75,screenplay,2,4999
72,7001,1,3,1,harmonica,3,6334
73,7001,1,3,2,inconstant,1,3698
74,7001,1,3,3,festival,5,3560
75,7001,1,3,4,marsh,6,3318
76,7001,1,3,5,extravagant,6,4341
77,7001,1,3,6,tighten,4,4133
78,7001,1,3,7,frostbite,2,2753
79,7001,1,3,8,stressful,3,2685
80,7001,1,3,9,sincere,1,2310
81,7001,1,3,10,salamander,1,3159
82,7001,1,3,11,beanie,1,3410
83,7001,1,3,12,methodology,1,1982
84,7001,1,3,13,escort,1,1920
85,7001,1,3,14,nuclear,3,3175
86,7001,1,3,15,mobility,1,3242
87,7001,1,3,16,gigantic,5,2781
88,7001,1,3,17,approve,2,2438
89,7001,1,3,18,punt,5,3006
90,7001,1,3,19,combative,4,2320
91,7001,1,3,20,crimson,2,8123
92,7001,1,3,21,corset,1,2938
93,7001,1,3,22,playback,1,2327
94,7001,1,3,23,dolphin,1,1905
95,7001,1,3,24,sweater,1,1686
96,7001,1,3,25,choice,2,3535
97,7001,1,3,26,leader,1,2337
98,7001,1,3,27,racist,1,1499
99,7001,1,3,28,defensible,1,1571
100,7001,1,3,29,flow,6,2363
101,7001,1,3,30,boyish,3,3510
102,7001,1,3,31,disenfranchise,1,2489
103,7001,1,3,32,detergent,3,2536
104,7001,1,3,33,gull,1,3240
105,7001,1,3,34,congruity,1,1773
106,7001,1,3,35,muffler,4,2805
107,7001,1,3,36,tram,1,2258
108,7001,1,3,37,utility,1,1879
109,7001,1,3,39,hobble,6,4377
110,7001,1,3,40,woe,4,3709
111,7001,1,3,41,Sparks,3,2158
112,7001,1,3,42,babble,6,2707
113,7001,1,3,43,athletics,1,3522
114,7001,1,3,44,option,1,1309
115,7001,1,3,45,several,1,1023
116,7001,1,3,46,droplet,4,2421
117,7001,1,3,48,clove,4,3473
118,7001,1,3,49,century,3,2593
119,7001,1,3,52,rocker,6,4440
120,7001,1,3,53,intercom,1,2025
121,7001,1,3,54,tech,2,2994
122,7001,1,3,55,preoccupy,1,1921
123,7001,1,3,56,joystick,1,1146
124,7001,1,3,57,start,1,2399
125,7001,1,3,58,irate,5,2350
126,7001,1,3,59,replay,1,2091
127,7001,1,3,60,hurry,5,3324
128,7001,1,3,61,neediness,1,1925
129,7001,1,3,62,magnet,1,1040
130,7001,1,3,63,grid,1,1046
131,7001,1,3,64,unbecoming,1,1058
132,7001,1,3,65,wallop,7,3255
133,7001,1,3,66,toothpaste,1,1864
134,7001,1,3,67,demote,1,3406
135,7001,1,3,68,limitation,1,1020
136,7001,1,3,69,snudge,NA,4055
137,7001,1,3,70,affectionate,1,2595
138,7001,1,3,71,elude,5,3907
139,7001,1,3,72,participant,1,1965
140,7001,1,3,73,buffoon,7,2208
141,7001,1,3,74,accused,1,2050
142,7001,1,3,75,peppermint,1,1026
143,7002,1,4,1,kelp,1,6533
144,7002,1,4,2,hairpin,7,3531
145,7002,1,4,3,speeding,7,3792
146,7002,1,4,4,crumb,7,3185
147,7002,1,4,5,connected,6,5592
148,7002,1,4,6,payroll,2,7469
149,7002,1,4,7,hussy,6,2680
150,7002,1,4,8,aristocracy,6,5928
151,7002,1,4,9,defy,7,1646
152,7002,1,4,10,chose,2,4563
153,7002,1,4,11,utterly,4,2707
154,7002,1,4,12,homeless,7,2295
155,7002,1,4,13,coleslaw,6,2407
156,7002,1,4,14,wrongful,7,3240
157,7002,1,4,15,putrid,7,2305
158,7002,1,4,16,multimedia,6,3387
159,7002,1,4,17,make,1,2437
160,7002,1,4,18,nun,6,2201
161,7002,1,4,19,want,1,3099
162,7002,1,4,20,round,7,1726
163,7002,1,4,21,literality,5,3605
164,7002,1,4,22,mash,7,2905
165,7002,1,4,23,pervasive,5,2562
166,7002,1,4,24,slobber,7,1949
167,7002,1,4,25,mini,6,2417
168,7002,1,4,26,January,1,2748
169,7002,1,4,27,glider,7,1838
170,7002,1,4,28,dwell,6,5231
171,7002,1,4,29,embellish,5,2719
172,7002,1,4,31,under,6,2557
173,7002,1,4,32,innocent,4,1809
174,7002,1,4,33,brassiere,2,1912
175,7002,1,4,34,basin,6,2121
176,7002,1,4,35,intro,3,5466
177,7002,1,4,36,prostitute,5,1964
178,7002,1,4,37,template,4,1852
179,7002,1,4,38,distinct,6,2446
180,7002,1,4,39,haystack,7,1488
181,7002,1,4,40,fight,5,2059
182,7002,1,4,41,tournament,2,2005
183,7002,1,4,42,audacity,1,5300
184,7002,1,4,43,aim,6,3085
185,7002,1,4,44,foam,7,1627
186,7002,1,4,46,shake,7,2507
187,7002,1,4,47,comedian,2,2444
188,7002,1,4,48,bulky,7,2381
189,7002,1,4,49,swept,3,2319
190,7002,1,4,50,sofa,2,2456
191,7002,1,4,51,diagram,6,1981
192,7002,1,4,52,ground,7,2757
193,7002,1,4,53,learning,1,3230
194,7002,1,4,54,times,1,2322
195,7002,1,4,56,newish,2,4674
196,7002,1,4,57,belt,2,4429
197,7002,1,4,58,down,7,1822
198,7002,1,4,59,fallacy,1,3162
199,7002,1,4,60,reportedly,1,2050
200,7002,1,4,61,strung,6,2410
201,7002,1,4,62,radiator,1,1662
202,7002,1,4,63,scaffold,6,2254
203,7002,1,4,64,ethnic,5,4236
204,7002,1,4,65,momentary,6,2984
205,7002,1,4,66,twinge,7,1677
206,7002,1,4,67,chalet,4,2138
207,7002,1,4,68,depressive,1,1727
208,7002,1,4,69,court,1,2061
209,7002,1,4,70,owl,1,3353
210,7002,1,4,71,sticker,4,1786
211,7002,1,4,72,frugality,1,1659
212,7002,1,4,73,plumber,4,2082
213,7002,1,4,74,actor,4,1480
214,7003,1,1,1,murky,6,3321
215,7003,1,1,2,reform,3,4189
216,7003,1,1,3,twister,5,5540
217,7003,1,1,4,breakage,2,5021
218,7003,1,1,5,bloodbath,5,15899
219,7003,1,1,6,measurement,1,3267
220,7003,1,1,7,allegiance,1,2876
221,7003,1,1,8,distrustful,3,3520
222,7003,1,1,9,cubicle,6,3756
223,7003,1,1,10,adulterer,1,4395
224,7003,1,1,11,tireless,4,4298
225,7003,1,1,12,responsible,2,3684
226,7003,1,1,13,lactose,1,4772
227,7003,1,1,14,dialysis,3,3806
228,7003,1,1,15,circumspect,4,5875
229,7003,1,1,16,sulphur,6,5697
230,7003,1,1,17,constitute,2,2414
231,7003,1,1,18,delightful,5,2748
232,7003,1,1,19,trade,4,3116
233,7003,1,1,20,butler,5,4973
234,7003,1,1,21,colossal,7,2903
235,7003,1,1,22,prune,7,2724
236,7003,1,1,23,qualified,2,3437
237,7003,1,1,24,misread,3,10601
238,7003,1,1,25,instruct,5,2520
239,7003,1,1,26,library,4,4396
240,7003,1,1,28,peace,7,2863
241,7003,1,1,29,screenplay,4,8502
242,7003,1,1,30,aunt,1,3027
243,7003,1,1,31,whirr,7,1718
244,7003,1,1,32,porch,3,3736
245,7003,1,1,33,lowly,5,6261
246,7003,1,1,34,phenomenal,4,7426
247,7003,1,1,35,valley,6,2737
248,7003,1,1,36,sight,5,6588
249,7003,1,1,37,honeycomb,1,4414
250,7003,1,1,38,nirvana,3,10357
251,7003,1,1,39,freakish,6,2352
252,7003,1,1,40,stalked,5,6575
253,7003,1,1,41,pant,7,2832
254,7003,1,1,42,stinky,5,3281
255,7003,1,1,43,excise,6,2684
256,7003,1,1,44,mammal,2,2450
257,7003,1,1,45,gamble,2,6855
258,7003,1,1,46,yank,7,1863
259,7003,1,1,47,sympathetic,4,4066
260,7003,1,1,48,empress,2,9835
261,7003,1,1,49,handshake,6,3079
262,7003,1,1,50,theorize,3,4589
263,7003,1,1,51,coverage,4,6913
264,7003,1,1,52,hydroplane,1,2710
265,7003,1,1,53,articulate,4,5059
266,7003,1,1,54,drill,7,4777
267,7003,1,1,55,uneventful,2,3256
268,7003,1,1,56,here,4,2942
269,7003,1,1,58,faulty,5,4304
270,7003,1,1,59,smash,7,1674
271,7003,1,1,60,momma,7,3057
272,7003,1,1,61,earnest,1,3768
273,7003,1,1,62,ruffle,7,4295
274,7003,1,1,63,solitaire,4,4114
275,7003,1,1,65,deserving,2,3074
276,7003,1,1,66,goo-goo,7,6433
277,7003,1,1,67,competence,1,5836
278,7003,1,1,68,bass,3,10826
279,7003,1,1,69,invariant,1,4596
280,7003,1,1,71,observer,3,3217
281,7003,1,1,72,jealous,5,4179
282,7003,1,1,73,grump,7,3760
283,7003,1,1,74,change,4,2158
284,7003,1,1,75,fixation,1,4487
285,7004,1,3,1,preoccupy,1,6114
286,7004,1,3,2,participant,4,7057
287,7004,1,3,3,elude,5,4532
288,7004,1,3,4,salamander,2,5002
289,7004,1,3,5,leader,5,7826
290,7004,1,3,6,toothpaste,7,5701
291,7004,1,3,7,tram,2,3477
292,7004,1,3,8,irate,2,3493
293,7004,1,3,9,sweater,6,2569
294,7004,1,3,10,beanie,3,5552
295,7004,1,3,11,gull,1,3851
296,7004,1,3,12,accused,2,4428
297,7004,1,3,13,utility,5,4602
298,7004,1,3,14,several,1,3068
299,7004,1,3,15,extravagant,7,2317
300,7004,1,3,16,peppermint,7,1868
301,7004,1,3,17,crimson,3,4120
302,7004,1,3,18,racist,6,6281
303,7004,1,3,19,flow,6,2696
304,7004,1,3,20,Sparks,7,4491
305,7004,1,3,21,playback,6,4025
306,7004,1,3,22,methodology,3,2547
307,7004,1,3,24,frostbite,7,2516
308,7004,1,3,25,affectionate,3,2526
309,7004,1,3,26,mobility,5,2594
310,7004,1,3,27,option,2,2809
311,7004,1,3,28,clove,3,2971
312,7004,1,3,29,escort,4,2926
313,7004,1,3,30,sincere,2,2404
314,7004,1,3,31,hobble,7,1676
315,7004,1,3,32,babble,7,1879
316,7004,1,3,33,boyish,5,3456
317,7004,1,3,34,limitation,6,2971
318,7004,1,3,35,disenfranchise,1,3182
319,7004,1,3,36,replay,6,2023
320,7004,1,3,37,wallop,7,2157
321,7004,1,3,39,magnet,2,2390
322,7004,1,3,40,detergent,3,2700
323,7004,1,3,41,athletics,4,4482
324,7004,1,3,42,unbecoming,1,2855
325,7004,1,3,43,choice,2,1749
326,7004,1,3,44,joystick,7,1868
327,7004,1,3,45,tighten,2,3394
328,7004,1,3,46,grid,1,2250
329,7004,1,3,48,muffler,6,2627
330,7004,1,3,49,combative,5,2543
331,7004,1,3,50,gigantic,6,3252
332,7004,1,3,51,tech,1,2624
333,7004,1,3,52,start,2,3806
334,7004,1,3,53,harmonica,4,2882
335,7004,1,3,54,snudge,1,2532
336,7004,1,3,55,droplet,5,2743
337,7004,1,3,56,woe,1,2916
338,7004,1,3,58,punt,3,5556
339,7004,1,3,59,century,3,5911
340,7004,1,3,60,corset,2,1950
341,7004,1,3,61,rocker,6,2155
342,7004,1,3,62,intercom,1,1941
343,7004,1,3,63,defensible,2,2270
344,7004,1,3,64,approve,3,1754
345,7004,1,3,65,hurry,6,2294
346,7004,1,3,66,buffoon,4,2527
347,7004,1,3,67,stressful,3,2417
348,7004,1,3,68,marsh,6,1827
349,7004,1,3,69,neediness,4,4576
350,7004,1,3,70,demote,2,3393
351,7004,1,3,71,congruity,5,2302
352,7004,1,3,72,nuclear,7,2999
353,7004,1,3,73,festival,6,2436
354,7004,1,3,74,dolphin,5,3421
355,7004,1,3,75,inconstant,1,1853
356,7005,1,4,1,comedian,5,5267
357,7005,1,4,2,belt,7,2756
358,7005,1,4,3,foam,7,1905
359,7005,1,4,4,mash,7,1689
360,7005,1,4,5,swept,6,1601
361,7005,1,4,6,chalet,2,4717
362,7005,1,4,7,court,5,1644
363,7005,1,4,8,fallacy,6,2580
364,7005,1,4,9,wrongful,7,1784
365,7005,1,4,10,mini,7,2659
366,7005,1,4,11,utterly,3,2853
367,7005,1,4,12,crumb,6,2528
368,7005,1,4,13,audacity,1,3622
369,7005,1,4,14,want,5,1831
370,7005,1,4,15,distinct,6,1593
371,7005,1,4,16,brassiere,2,2177
372,7005,1,4,17,ethnic,1,2630
373,7005,1,4,19,newish,4,1634
374,7005,1,4,20,haystack,6,2303
375,7005,1,4,21,aristocracy,5,3106
376,7005,1,4,22,down,7,1700
377,7005,1,4,23,coleslaw,6,1687
378,7005,1,4,24,radiator,3,1579
379,7005,1,4,25,scaffold,3,1332
380,7005,1,4,26,basin,5,1901
381,7005,1,4,27,hairpin,7,1919
382,7005,1,4,28,nun,6,2069
383,7005,1,4,29,dwell,6,1339
384,7005,1,4,30,tournament,5,1107
385,7005,1,4,31,make,3,2390
386,7005,1,4,32,twinge,7,1652
387,7005,1,4,33,multimedia,6,1208
388,7005,1,4,34,plumber,7,1768
389,7005,1,4,36,depressive,6,6692
390,7005,1,4,37,kelp,5,1151
391,7005,1,4,38,bulky,7,2133
392,7005,1,4,39,sofa,1,2436
393,7005,1,4,40,ground,5,2074
394,7005,1,4,41,chose,1,2346
395,7005,1,4,42,reportedly,6,1750
396,7005,1,4,43,pervasive,5,11315
397,7005,1,4,44,diagram,4,1217
398,7005,1,4,45,innocent,6,1094
399,7005,1,4,46,momentary,1,3391
400,7005,1,4,48,homeless,7,2699
401,7005,1,4,49,aim,6,1082
402,7005,1,4,50,intro,6,1598
403,7005,1,4,51,glider,7,1588
404,7005,1,4,52,putrid,7,1814
405,7005,1,4,53,January,1,2416
406,7005,1,4,54,payroll,7,2421
407,7005,1,4,55,prostitute,1,2023
408,7005,1,4,56,template,5,1400
409,7005,1,4,57,frugality,3,1512
410,7005,1,4,58,embellish,6,1966
411,7005,1,4,59,round,7,2705
412,7005,1,4,60,shake,7,1353
413,7005,1,4,61,owl,1,2051
414,7005,1,4,62,under,6,1404
415,7005,1,4,63,learning,5,1481
416,7005,1,4,64,fight,2,2395
417,7005,1,4,65,strung,7,2541
418,7005,1,4,67,connected,6,2117
419,7005,1,4,68,times,4,1672
420,7005,1,4,69,defy,7,3152
421,7005,1,4,70,sticker,7,1581
422,7005,1,4,71,slobber,7,1503
423,7005,1,4,72,actor,3,2090
424,7005,1,4,73,speeding,7,2153
425,7005,1,4,74,literality,6,1087
426,7005,1,4,75,hussy,1,2887
427,7006,1,3,1,crimson,6,10270
428,7006,1,3,2,muffler,4,5759
429,7006,1,3,3,grid,5,5428
430,7006,1,3,4,toothpaste,7,4801
431,7006,1,3,5,participant,5,5456
432,7006,1,3,6,tram,5,7620
433,7006,1,3,7,racist,4,6292
434,7006,1,3,8,tighten,3,4965
435,7006,1,3,9,unbecoming,4,5831
436,7006,1,3,10,harmonica,5,6260
437,7006,1,3,11,intercom,4,5209
438,7006,1,3,12,flow,4,3558
439,7006,1,3,13,buffoon,3,4922
440,7006,1,3,14,leader,6,5349
441,7006,1,3,15,droplet,7,4424
442,7006,1,3,16,escort,4,4790
443,7006,1,3,17,mobility,4,5102
444,7006,1,3,18,gull,4,5391
445,7006,1,3,20,gigantic,4,7571
446,7006,1,3,19,affectionate,5,4466
447,7006,1,3,21,century,4,4869
448,7006,1,3,22,sincere,2,5768
449,7006,1,3,23,rocker,4,4075
450,7006,1,3,25,approve,3,8755
451,7006,1,3,26,athletics,2,5654
452,7006,1,3,27,playback,4,5802
453,7006,1,3,28,hurry,4,3977
454,7006,1,3,29,extravagant,3,3678
455,7006,1,3,30,replay,4,5006
456,7006,1,3,31,stressful,6,6244
457,7006,1,3,32,punt,3,4893
458,7006,1,3,33,sweater,4,3534
459,7006,1,3,34,snudge,NA,8560
460,7006,1,3,35,elude,4,4538
461,7006,1,3,36,magnet,5,3549
462,7006,1,3,38,wallop,1,7362
463,7006,1,3,39,hobble,4,4194
464,7006,1,3,40,congruity,3,4481
465,7006,1,3,41,combative,5,3120
466,7006,1,3,42,accused,4,2930
467,7006,1,3,43,babble,6,2617
468,7006,1,3,44,nuclear,7,3833
469,7006,1,3,45,Sparks,7,3404
470,7006,1,3,46,disenfranchise,2,4461
471,7006,1,3,48,irate,2,2638
472,7006,1,3,49,inconstant,3,12147
473,7006,1,3,50,joystick,4,2870
474,7006,1,3,51,detergent,4,17089
475,7006,1,3,52,beanie,2,8326
476,7006,1,3,53,festival,3,4483
477,7006,1,3,54,tech,4,3073
478,7006,1,3,55,limitation,5,2285
479,7006,1,3,57,dolphin,4,3134
480,7006,1,3,58,preoccupy,4,2160
481,7006,1,3,59,neediness,5,4433
482,7006,1,3,60,demote,3,2943
483,7006,1,3,61,frostbite,4,2598
484,7006,1,3,62,boyish,7,3054
485,7006,1,3,63,salamander,4,4154
486,7006,1,3,64,utility,4,4121
487,7006,1,3,65,start,5,5338
488,7006,1,3,66,woe,6,4832
489,7006,1,3,67,clove,4,5649
490,7006,1,3,68,choice,5,2862
491,7006,1,3,69,defensible,4,4012
492,7006,1,3,70,several,3,3527
493,7006,1,3,71,methodology,4,4278
494,7006,1,3,72,peppermint,6,4324
495,7006,1,3,73,corset,2,5450
496,7006,1,3,74,option,3,4635
497,7006,1,3,75,marsh,4,5871
